"","Age","SES1","SES2","threshold","minincome","maxincome","adj_inc","INR"
"860",66,2,"$160,000-$169,999",18774,160000,170000,165000,8.78875039948865
"861",65,3,"$250,000-$299,999",16072,250000,3e+05,275000,17.1105027376804
"862",51,3,"$170,000-$179,999",12486,170000,180000,175000,14.015697581291
"863",29,2,"$150,000-$159,999",12486,150000,160000,155000,12.4139035720006
"864",39,5,"$140,000-$149,999",18774,140000,150000,145000,7.72344732076276
"865",32,2,"$180,000-$189,999",12486,180000,190000,185000,14.8165945859362
"866",84,1,"$180,000-$189,999",29854,180000,190000,185000,6.19682454612447
"867",75,4,"$190,000-$199,999",24755,190000,2e+05,195000,7.87719652595435
"868",42,2,"$150,000-$159,999",18774,150000,160000,155000,8.25609886012571
"869",59,2,"$180,000-$189,999",24755,180000,190000,185000,7.47323772975157
"870",28,1,"$150,000-$159,999",12486,150000,160000,155000,12.4139035720006
"871",45,4,"$190,000-$199,999",24755,190000,2e+05,195000,7.87719652595435
"872",57,4,"$180,000-$189,999",18774,180000,190000,185000,9.85405347821455
"873",63,2,"$180,000-$189,999",18774,180000,190000,185000,9.85405347821455
"874",72,2,"$250,000-$299,999",16072,250000,3e+05,275000,17.1105027376804
"875",71,1,"$250,000-$299,999",16072,250000,3e+05,275000,17.1105027376804
"876",53,5,"$350,000-$399,999",16072,350000,4e+05,375000,23.3325037332006
"877",35,1,"$450,000-$499,999",16072,450000,5e+05,475000,29.5545047287208
"878",62,2,"$150,000-$159,999",16072,150000,160000,155000,9.64410154305625
"879",55,4,"$150,000-$159,999",18774,150000,160000,155000,8.25609886012571
"880",39,4,"$250,000-$299,999",12486,250000,3e+05,275000,22.0246676277431
"881",59,2,"$190,000-$199,999",18774,190000,2e+05,195000,10.3867050175775
"882",63,2,"$150,000-$159,999",16072,150000,160000,155000,9.64410154305625
"883",46,7,"$400,000-$449,999",18774,4e+05,450000,425000,22.6376904229253
"884",23,1,"$400,000-$449,999",18774,4e+05,450000,425000,22.6376904229253
"885",61,2,"$200,000-$249,999",18774,2e+05,250000,225000,11.9846596356663
"886",59,3,"$190,000-$199,999",18774,190000,2e+05,195000,10.3867050175775
"887",42,2,"$150,000-$159,999",16072,150000,160000,155000,9.64410154305625
"888",38,4,"$200,000-$249,999",14507,2e+05,250000,225000,15.5097539119046
"889",50,2,"$200,000-$249,999",18774,2e+05,250000,225000,11.9846596356663
"890",33,3,"$200,000-$249,999",24755,2e+05,250000,225000,9.08907291456272
